word,colour,stim_condition,correct_res,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,ins.started,text_2.started,text_2.stopped,ins.stopped,trial.started,fixation.started,fixation.stopped,text.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,text.stopped,Thank_you.started,text_3.started,Thank_you.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart
,,,,,,,,,,,,,,,,,0.002544701,0.005728001,1.0152875,0.999165701,,,,,,,,,,,,,,,2,1,2025-08-18_22h43.33.454,stroop,,2025.1.1,60.51287104,2025-08-18 22h43.42.918851 +0530
BLUE,blue,C,b,0,0,0,b,1,2.2331129,None,0,0,0,3,1.0152875,,,,,,1.0121214,1.0152875,1.5156832,1.5156832,1.5156832,3.7628213,b,1,2.2331129,None,,,,,2,1,2025-08-18_22h43.33.454,stroop,,2025.1.1,60.51287104,2025-08-18 22h43.42.918851 +0530
RED,red,C,r,1,1,0,r,1,1.2036543,None,0,1,1,0,3.786946001,,,,,,3.782994201,3.786946001,4.2664642,4.2664642,4.2664642,5.484085102,r,1,1.2036543,None,,,,,2,1,2025-08-18_22h43.33.454,stroop,,2025.1.1,60.51287104,2025-08-18 22h43.42.918851 +0530
RED,red,C,r,6,2,1,r,1,1.0408512,None,1,2,6,0,16.3183343,,,,,,16.3028437,16.3183343,16.8017385,16.8017385,16.8017385,17.8525324,r,1,1.0408512,None,,,,,2,1,2025-08-18_22h43.33.454,stroop,,2025.1.1,60.51287104,2025-08-18 22h43.42.918851 +0530
BLUE,blue,C,b,7,3,1,b,1,1.898751199,None,1,3,7,3,17.8688782,,,,,,17.8557315,17.8688782,18.3521848,18.3521848,18.3521848,20.2531705,b,1,1.898751199,None,,,,,2,1,2025-08-18_22h43.33.454,stroop,,2025.1.1,60.51287104,2025-08-18 22h43.42.918851 +0530
BLUE,blue,C,b,9,1,2,r,0,0.903424401,None,2,1,9,3,22.2195729,,,,,,22.2053835,22.2195729,22.7026483,22.7026483,22.7026483,23.6201274,r,0,0.903424401,None,,,,,2,1,2025-08-18_22h43.33.454,stroop,,2025.1.1,60.51287104,2025-08-18 22h43.42.918851 +0530
RED,red,C,r,10,2,2,r,1,1.4702543,None,2,2,10,0,23.6362661,,,,,,23.6235133,23.6362661,24.1199154,24.1199154,24.1199154,25.6041752,r,1,1.4702543,None,,,,,2,1,2025-08-18_22h43.33.454,stroop,,2025.1.1,60.51287104,2025-08-18 22h43.42.918851 +0530
RED,red,C,r,12,0,3,r,1,0.988233401,None,3,0,12,0,27.3535029,,,,,,27.3411107,27.3535029,27.8373675,27.8373675,27.8373675,28.8389893,r,1,0.988233401,None,,,,,2,1,2025-08-18_22h43.33.454,stroop,,2025.1.1,60.51287104,2025-08-18 22h43.42.918851 +0530
BLUE,blue,C,b,14,2,3,b,1,0.9189096,None,3,2,14,3,30.8206452,,,,,,30.8047595,30.8206452,31.3039911,31.3039911,31.3039911,32.2379666,b,1,0.9189096,None,,,,,2,1,2025-08-18_22h43.33.454,stroop,,2025.1.1,60.51287104,2025-08-18 22h43.42.918851 +0530
BLUE,blue,C,b,16,0,4,b,1,1.2862086,None,4,0,16,3,34.271289,,,,,,34.2567641,34.271289,34.7553635,34.7553635,34.7553635,36.0556123,b,1,1.2862086,None,,,,,2,1,2025-08-18_22h43.33.454,stroop,,2025.1.1,60.51287104,2025-08-18 22h43.42.918851 +0530
RED,red,C,r,17,1,4,r,1,1.347175801,None,4,1,17,0,36.0718914,,,,,,36.0584276,36.0718914,36.5552812,36.5552812,36.5552812,37.9058467,r,1,1.347175801,None,,,,,2,1,2025-08-18_22h43.33.454,stroop,,2025.1.1,60.51287104,2025-08-18 22h43.42.918851 +0530
