word,colour,stim_condition,correct_res,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,ins.started,text_2.started,text_2.stopped,ins.stopped,trial.started,fixation.started,fixation.stopped,text.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,Thank_you.started,text_3.started,Thank_you.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart
BLUE,blue,C,b,0,0,0,b,1,1.0619474,None,0,0,0,3,1.025310401,,,,,,1.0212289,1.025310401,1.5142837,1.5142837,1.5142837,2.601972099,b,1,1.0619474,None,,,,2,1,2025-08-26_16h16.49.386,stroop,,2025.1.1,59.99613608,2025-08-26 16h16.57.184445 +0530
BLUE,blue,C,b,5,1,1,b,1,0.5137816,None,1,1,5,3,7.4158666,,,,,,7.4056504,7.4158666,7.899930101,7.899930101,7.899930101,8.4165342,b,1,0.5137816,None,,,,2,1,2025-08-26_16h16.49.386,stroop,,2025.1.1,59.99613608,2025-08-26 16h16.57.184445 +0530
BLUE,blue,C,b,9,1,2,b,1,0.477966599,None,2,1,9,3,11.0166579,,,,,,11.0041721,11.0166579,11.5000034,11.5000034,11.5000034,11.9844981,b,1,0.477966599,None,,,,2,1,2025-08-26_16h16.49.386,stroop,,2025.1.1,59.99613608,2025-08-26 16h16.57.184445 +0530
BLUE,blue,C,b,14,2,3,b,1,0.498670001,None,3,2,14,3,15.6007007,,,,,,15.5865278,15.6007007,16.1008888,16.1008888,16.1008888,16.6025478,b,1,0.498670001,None,,,,2,1,2025-08-26_16h16.49.386,stroop,,2025.1.1,59.99613608,2025-08-26 16h16.57.184445 +0530
BLUE,blue,C,b,18,2,4,b,1,0.5002559,None,4,2,18,3,19.5680511,,,,,,19.5569526,19.5680511,20.0515196,20.0515196,20.0515196,20.5529293,b,1,0.5002559,None,,,,2,1,2025-08-26_16h16.49.386,stroop,,2025.1.1,59.99613608,2025-08-26 16h16.57.184445 +0530
BLUE,blue,C,b,23,3,5,b,1,0.490469601,None,5,3,23,3,24.5191285,,,,,,24.5075792,24.5191285,25.0022897,25.0022897,25.0022897,25.5048126,b,1,0.490469601,None,,,,2,1,2025-08-26_16h16.49.386,stroop,,2025.1.1,59.99613608,2025-08-26 16h16.57.184445 +0530
BLUE,blue,C,b,25,1,6,b,1,0.411493501,None,6,1,25,3,26.819465,,,,,,26.8084294,26.819465,27.3031027,27.3031027,27.3031027,27.7200043,b,1,0.411493501,None,,,,2,1,2025-08-26_16h16.49.386,stroop,,2025.1.1,59.99613608,2025-08-26 16h16.57.184445 +0530
BLUE,blue,C,b,30,2,7,r,0,0.410787901,None,7,2,30,3,31.4036147,,,,,,31.3947629,31.4036147,31.903603,31.903603,31.903603,32.3208216,r,0,0.410787901,None,,,,2,1,2025-08-26_16h16.49.386,stroop,,2025.1.1,59.99613608,2025-08-26 16h16.57.184445 +0530
BLUE,blue,C,b,34,2,8,b,1,0.682288801,None,8,2,34,3,36.3878577,,,,,,36.3760622,36.3878577,36.8880248,36.8880248,36.8880248,37.5725159,b,1,0.682288801,None,,,,2,1,2025-08-26_16h16.49.386,stroop,,2025.1.1,59.99613608,2025-08-26 16h16.57.184445 +0530
BLUE,blue,C,b,37,1,9,b,1,0.587835699,None,9,1,37,3,40.1306213,,,,,,40.1258446,40.1306213,40.5379403,40.5379403,40.5379403,41.1389963,b,1,0.587835699,None,,,,2,1,2025-08-26_16h16.49.386,stroop,,2025.1.1,59.99613608,2025-08-26 16h16.57.184445 +0530
RED,red,C,r,2,2,0,r,1,0.4984861,None,0,2,2,0,3.986066001,,,,,,3.980383901,3.986066001,4.465331201,4.465331201,4.465331201,4.967124101,r,1,0.4984861,None,,,,2,1,2025-08-26_16h16.49.386,stroop,,2025.1.1,59.99613608,2025-08-26 16h16.57.184445 +0530
RED,red,C,r,7,3,1,r,1,0.437054399,None,1,3,7,0,9.2490652,,,,,,9.2396894,9.2490652,9.7327989,9.7327989,9.7327989,10.1842201,r,1,0.437054399,None,,,,2,1,2025-08-26_16h16.49.386,stroop,,2025.1.1,59.99613608,2025-08-26 16h16.57.184445 +0530
RED,red,C,r,11,3,2,r,1,0.4597761,None,2,3,11,0,12.8169276,,,,,,12.8054267,12.8169276,13.3167525,13.3167525,13.3167525,13.7836648,r,1,0.4597761,None,,,,2,1,2025-08-26_16h16.49.386,stroop,,2025.1.1,59.99613608,2025-08-26 16h16.57.184445 +0530
RED,red,C,r,15,3,3,r,1,0.328392699,None,3,3,15,0,16.6175235,,,,,,16.6073364,16.6175235,17.1178948,17.1178948,17.1178948,17.4518156,r,1,0.328392699,None,,,,2,1,2025-08-26_16h16.49.386,stroop,,2025.1.1,59.99613608,2025-08-26 16h16.57.184445 +0530
RED,red,C,r,19,3,4,r,1,0.507003499,None,4,3,19,0,20.5686008,,,,,,20.5605552,20.5686008,21.0683624,21.0683624,21.0683624,21.586201,r,1,0.507003499,None,,,,2,1,2025-08-26_16h16.49.386,stroop,,2025.1.1,59.99613608,2025-08-26 16h16.57.184445 +0530
RED,red,C,r,22,2,5,r,1,0.5071014,None,5,2,22,0,23.5020686,,,,,,23.4869826,23.5020686,23.9856735,23.9856735,23.9856735,24.502811,r,1,0.5071014,None,,,,2,1,2025-08-26_16h16.49.386,stroop,,2025.1.1,59.99613608,2025-08-26 16h16.57.184445 +0530
RED,red,C,r,24,0,6,r,1,0.769525899,None,6,0,24,0,25.519252,,,,,,25.5112458,25.519252,26.0190175,26.0190175,26.0190175,26.8035199,r,1,0.769525899,None,,,,2,1,2025-08-26_16h16.49.386,stroop,,2025.1.1,59.99613608,2025-08-26 16h16.57.184445 +0530
RED,red,C,r,29,1,7,r,1,0.369258201,None,7,1,29,0,30.520052,,,,,,30.5057713,30.520052,31.0033632,31.0033632,31.0033632,31.3886993,r,1,0.369258201,None,,,,2,1,2025-08-26_16h16.49.386,stroop,,2025.1.1,59.99613608,2025-08-26 16h16.57.184445 +0530
RED,red,C,r,33,1,8,r,1,0.4691677,None,8,1,33,0,35.4042729,,,,,,35.3936661,35.4042729,35.8873703,35.8873703,35.8873703,36.3720789,r,1,0.4691677,None,,,,2,1,2025-08-26_16h16.49.386,stroop,,2025.1.1,59.99613608,2025-08-26 16h16.57.184445 +0530
RED,red,C,r,36,0,9,r,1,0.470610399,None,9,0,36,0,39.0548321,,,,,,39.039032,39.0548321,39.5382651,39.5382651,39.5382651,40.0236119,r,1,0.470610399,None,,,,2,1,2025-08-26_16h16.49.386,stroop,,2025.1.1,59.99613608,2025-08-26 16h16.57.184445 +0530
BLUE,red,I,r,1,1,0,r,1,0.8411269,None,0,1,1,2,2.606409701,,,,,,2.602614099,2.606409701,3.115217799,3.115217799,3.115217799,3.965668499,r,1,0.8411269,None,,,,2,1,2025-08-26_16h16.49.386,stroop,,2025.1.1,59.99613608,2025-08-26 16h16.57.184445 +0530
BLUE,red,I,r,6,2,1,r,1,0.314380899,None,1,2,6,2,8.4330038,,,,,,8.417639701,8.4330038,8.9168963,8.9168963,8.9168963,9.2337068,r,1,0.314380899,None,,,,2,1,2025-08-26_16h16.49.386,stroop,,2025.1.1,59.99613608,2025-08-26 16h16.57.184445 +0530
BLUE,red,I,r,10,2,2,r,1,0.299687399,None,2,2,10,2,12.0000555,,,,,,11.9857907,12.0000555,12.5003392,12.5003392,12.5003392,12.8012967,r,1,0.299687399,None,,,,2,1,2025-08-26_16h16.49.386,stroop,,2025.1.1,59.99613608,2025-08-26 16h16.57.184445 +0530
BLUE,red,I,r,13,1,3,r,1,0.4174226,None,3,1,13,2,14.6671296,,,,,,14.6557404,14.6671296,15.1506033,15.1506033,15.1506033,15.5851939,r,1,0.4174226,None,,,,2,1,2025-08-26_16h16.49.386,stroop,,2025.1.1,59.99613608,2025-08-26 16h16.57.184445 +0530
BLUE,red,I,r,16,0,4,r,1,0.5964575,None,4,0,16,2,17.4676469,,,,,,17.4570296,17.4676469,17.9516394,17.9516394,17.9516394,18.5513654,r,1,0.5964575,None,,,,2,1,2025-08-26_16h16.49.386,stroop,,2025.1.1,59.99613608,2025-08-26 16h16.57.184445 +0530
BLUE,red,I,r,20,0,5,r,1,0.3705064,None,5,0,20,2,21.6015758,,,,,,21.5899351,21.6015758,22.1017221,22.1017221,22.1017221,22.4867052,r,1,0.3705064,None,,,,2,1,2025-08-26_16h16.49.386,stroop,,2025.1.1,59.99613608,2025-08-26 16h16.57.184445 +0530
BLUE,red,I,r,27,3,6,r,1,0.416462699,None,6,3,27,2,28.7194591,,,,,,28.7092542,28.7194591,29.2031753,29.2031753,29.2031753,29.6367681,r,1,0.416462699,None,,,,2,1,2025-08-26_16h16.49.386,stroop,,2025.1.1,59.99613608,2025-08-26 16h16.57.184445 +0530
BLUE,red,I,r,31,3,7,b,0,0.6710015,None,7,3,31,2,32.3367484,,,,,,32.3216411,32.3367484,32.8202651,32.8202651,32.8202651,33.5046496,b,0,0.6710015,None,,,,2,1,2025-08-26_16h16.49.386,stroop,,2025.1.1,59.99613608,2025-08-26 16h16.57.184445 +0530
BLUE,red,I,r,32,0,8,r,1,1.3829767,None,8,0,32,2,33.5202987,,,,,,33.505402,33.5202987,34.0040924,34.0040924,34.0040924,35.3882103,r,1,1.3829767,None,,,,2,1,2025-08-26_16h16.49.386,stroop,,2025.1.1,59.99613608,2025-08-26 16h16.57.184445 +0530
BLUE,red,I,r,39,3,9,r,1,0.5316032,None,9,3,39,2,42.9887371,,,,,,42.9781818,42.9887371,43.4723179,43.4723179,43.4723179,44.0061025,r,1,0.5316032,None,,,,2,1,2025-08-26_16h16.49.386,stroop,,2025.1.1,59.99613608,2025-08-26 16h16.57.184445 +0530
RED,blue,I,b,3,3,0,b,1,0.924041599,None,0,3,3,1,4.9820635,,,,,,4.968865201,4.9820635,5.4825041,5.4825041,5.4825041,6.4163514,b,1,0.924041599,None,,,,2,1,2025-08-26_16h16.49.386,stroop,,2025.1.1,59.99613608,2025-08-26 16h16.57.184445 +0530
