word,colour,stim_condition,correct_res,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,ins.started,text_2.started,ins.stopped,trial.started,fixation.started,fixation.stopped,text.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,Thank_you.started,text_3.started,text_3.stopped,Thank_you.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart
RED,red,C,r,0,0,0,r,1,3.028332699,None,0,0,0,0,1.030337699,,,,,1.0259232,1.030337699,1.500911299,1.500911299,1.500911299,4.5424325,r,1,3.028332699,None,,,,,4,1,2025-08-26_16h32.48.675,stroop,,2025.1.1,60.08716233,2025-08-26 16h33.03.771656 +0530
BLUE,blue,C,b,3,3,0,b,1,0.280869501,None,0,3,3,3,6.6346648,,,,,6.6242704,6.6346648,7.118745299,7.118745299,7.118745299,7.403517099,b,1,0.280869501,None,,,,,4,1,2025-08-26_16h32.48.675,stroop,,2025.1.1,60.08716233,2025-08-26 16h33.03.771656 +0530
RED,red,C,r,4,0,1,r,1,0.390380299,None,1,0,4,0,7.417974699,,,,,7.407676499,7.417974699,7.918794299,7.918794299,7.918794299,8.320324099,r,1,0.390380299,None,,,,,4,1,2025-08-26_16h32.48.675,stroop,,2025.1.1,60.08716233,2025-08-26 16h33.03.771656 +0530
BLUE,blue,C,b,7,3,1,b,1,0.320104899,None,1,3,7,3,11.3355829,,,,,11.3243549,11.3355829,11.8191595,11.8191595,11.8191595,12.1536488,b,1,0.320104899,None,,,,,4,1,2025-08-26_16h32.48.675,stroop,,2025.1.1,60.08716233,2025-08-26 16h33.03.771656 +0530
RED,red,C,r,8,0,2,r,1,0.4680709,None,2,0,8,0,12.1692724,,,,,12.1579079,12.1692724,12.6531432,12.6531432,12.6531432,13.1369439,r,1,0.4680709,None,,,,,4,1,2025-08-26_16h32.48.675,stroop,,2025.1.1,60.08716233,2025-08-26 16h33.03.771656 +0530
BLUE,blue,C,b,9,1,2,b,1,0.386217201,None,2,1,9,3,13.1528039,,,,,13.1425195,13.1528039,13.6527215,13.6527215,13.6527215,14.0539145,b,1,0.386217201,None,,,,,4,1,2025-08-26_16h32.48.675,stroop,,2025.1.1,60.08716233,2025-08-26 16h33.03.771656 +0530
RED,red,C,r,12,0,3,r,1,0.4632554,None,3,0,12,0,16.2367642,,,,,16.2254769,16.2367642,16.7204925,16.7204925,16.7204925,17.1878668,r,1,0.4632554,None,,,,,4,1,2025-08-26_16h32.48.675,stroop,,2025.1.1,60.08716233,2025-08-26 16h33.03.771656 +0530
BLUE,blue,C,b,13,1,3,b,1,0.4522593,None,3,1,13,3,17.2033758,,,,,17.1941475,17.2033758,17.6869851,17.6869851,17.6869851,18.1546328,b,1,0.4522593,None,,,,,4,1,2025-08-26_16h32.48.675,stroop,,2025.1.1,60.08716233,2025-08-26 16h33.03.771656 +0530
BLUE,blue,C,b,16,0,4,b,1,0.6601502,None,4,0,16,3,19.7372922,,,,,19.7284777,19.7372922,20.2371366,20.2371366,20.2371366,20.905314,b,1,0.6601502,None,,,,,4,1,2025-08-26_16h32.48.675,stroop,,2025.1.1,60.08716233,2025-08-26 16h33.03.771656 +0530
RED,red,C,r,17,1,4,r,1,0.5132157,None,4,1,17,0,20.9208486,,,,,20.9107519,20.9208486,21.4045309,21.4045309,21.4045309,21.9219513,r,1,0.5132157,None,,,,,4,1,2025-08-26_16h32.48.675,stroop,,2025.1.1,60.08716233,2025-08-26 16h33.03.771656 +0530
RED,red,C,r,20,0,5,r,1,0.7115259,None,5,0,20,0,24.1381146,,,,,24.1232088,24.1381146,24.6380778,24.6380778,24.6380778,25.3563276,r,1,0.7115259,None,,,,,4,1,2025-08-26_16h32.48.675,stroop,,2025.1.1,60.08716233,2025-08-26 16h33.03.771656 +0530
BLUE,blue,C,b,21,1,5,b,1,0.476899501,None,5,1,21,3,25.3714271,,,,,25.3615691,25.3714271,25.8717635,25.8717635,25.8717635,26.3563578,b,1,0.476899501,None,,,,,4,1,2025-08-26_16h32.48.675,stroop,,2025.1.1,60.08716233,2025-08-26 16h33.03.771656 +0530
RED,red,C,r,26,2,6,r,1,0.5578075,None,6,2,26,0,30.2723709,,,,,30.2580527,30.2723709,30.7727182,30.7727182,30.7727182,31.3402186,r,1,0.5578075,None,,,,,4,1,2025-08-26_16h32.48.675,stroop,,2025.1.1,60.08716233,2025-08-26 16h33.03.771656 +0530
BLUE,blue,C,b,27,3,6,b,1,0.4576967,None,6,3,27,3,31.3560416,,,,,31.3444613,31.3560416,31.8396557,31.8396557,31.8396557,32.307112,b,1,0.4576967,None,,,,,4,1,2025-08-26_16h32.48.675,stroop,,2025.1.1,60.08716233,2025-08-26 16h33.03.771656 +0530
RED,red,C,r,28,0,7,r,1,0.7792203,None,7,0,28,0,32.322642,,,,,32.3114141,32.322642,32.8228293,32.8228293,32.8228293,33.6068324,r,1,0.7792203,None,,,,,4,1,2025-08-26_16h32.48.675,stroop,,2025.1.1,60.08716233,2025-08-26 16h33.03.771656 +0530
BLUE,blue,C,b,29,1,7,b,1,0.3848857,None,7,1,29,3,33.6229651,,,,,33.6109409,33.6229651,34.1062587,34.1062587,34.1062587,34.5076424,b,1,0.3848857,None,,,,,4,1,2025-08-26_16h32.48.675,stroop,,2025.1.1,60.08716233,2025-08-26 16h33.03.771656 +0530
RED,red,C,r,32,0,8,r,1,0.425850799,None,8,0,32,0,36.723637,,,,,36.7121009,36.723637,37.207411,37.207411,37.207411,37.6420031,r,1,0.425850799,None,,,,,4,1,2025-08-26_16h32.48.675,stroop,,2025.1.1,60.08716233,2025-08-26 16h33.03.771656 +0530
BLUE,blue,C,b,34,2,8,b,1,0.471297199,None,8,2,34,3,38.5238518,,,,,38.5088468,38.5238518,39.007531,39.007531,39.007531,39.491395,b,1,0.471297199,None,,,,,4,1,2025-08-26_16h32.48.675,stroop,,2025.1.1,60.08716233,2025-08-26 16h33.03.771656 +0530
RED,red,C,r,36,0,9,r,1,0.436972899,None,9,0,36,0,40.4741612,,,,,40.4606447,40.4741612,40.9744345,40.9744345,40.9744345,41.4260715,r,1,0.436972899,None,,,,,4,1,2025-08-26_16h32.48.675,stroop,,2025.1.1,60.08716233,2025-08-26 16h33.03.771656 +0530
BLUE,blue,C,b,38,2,9,b,1,0.639227899,None,9,2,38,3,44.2256325,,,,,44.2113943,44.2256325,44.7251323,44.7251323,44.7251323,45.3766591,b,1,0.639227899,None,,,,,4,1,2025-08-26_16h32.48.675,stroop,,2025.1.1,60.08716233,2025-08-26 16h33.03.771656 +0530
BLUE,red,I,r,1,1,0,r,1,0.549974401,None,0,1,1,2,4.555619,,,,,4.5521094,4.555619,5.051099099,5.051099099,5.051099099,5.6019649,r,1,0.549974401,None,,,,,4,1,2025-08-26_16h32.48.675,stroop,,2025.1.1,60.08716233,2025-08-26 16h33.03.771656 +0530
RED,blue,I,b,2,2,0,b,1,0.513281601,None,0,2,2,1,5.6178615,,,,,5.6057474,5.6178615,6.1019013,6.1019013,6.1019013,6.6188151,b,1,0.513281601,None,,,,,4,1,2025-08-26_16h32.48.675,stroop,,2025.1.1,60.08716233,2025-08-26 16h33.03.771656 +0530
