stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart
0,2,10,0.0300925,,0.0139322,0.0300925,0.5390876,0.5390876,0.5611821,0.84718,4.6342521,right,10,1,1,4.0705491,522543,1,2025-09-02_17h17.41.919,adaptive_staircase,,2025.1.1,60.01223049,2025-09-02 17h17.43.724377 +0530
1,2,8,4.6449544,,4.6346393,4.6449544,5.1472274,5.1472274,5.1472274,5.4629394,5.648231,right,8,1,1,0.4863334,522543,1,2025-09-02_17h17.41.919,adaptive_staircase,,2025.1.1,60.01223049,2025-09-02 17h17.43.724377 +0530
2,2,6,5.6631885,,5.6486225,5.6631885,6.1484512,6.1484512,6.1643994,6.4478012,6.4486443,right,6,1,1,0.2871438,522543,1,2025-09-02_17h17.41.919,adaptive_staircase,,2025.1.1,60.01223049,2025-09-02 17h17.43.724377 +0530
3,2,4,6.4648206,,6.4489283,6.4648206,6.9479727,6.9479727,6.9644915,7.2479951,7.231652,right,4,1,1,0.2784737,522543,1,2025-09-02_17h17.41.919,adaptive_staircase,,2025.1.1,60.01223049,2025-09-02 17h17.43.724377 +0530
4,2,2,7.2479951,,7.2319553,7.2479951,7.7313643,7.7313643,7.7467195,8.0312272,8.3489098,left,-2,1,1,0.6168128,522543,1,2025-09-02_17h17.41.919,adaptive_staircase,,2025.1.1,60.01223049,2025-09-02 17h17.43.724377 +0530
5,2,1,8.3643139,,8.3492291,8.3643139,8.8498841,8.8498841,8.8645978,9.1653565,9.1665611,left,-1,1,1,0.3161013,522543,1,2025-09-02_17h17.41.919,adaptive_staircase,,2025.1.1,60.01223049,2025-09-02 17h17.43.724377 +0530
6,2,1,9.1814588,,9.1668915,9.1814588,9.6803903,9.6803903,9.6803903,,9.9500901,right,1,1,1,0.2653936,522543,1,2025-09-02_17h17.41.919,adaptive_staircase,,2025.1.1,60.01223049,2025-09-02 17h17.43.724377 +0530
7,1,1,9.9654504,,9.9503999,9.9654504,10.4651828,10.4651828,10.4651828,10.7652906,10.8312986,right,1,0,0,0.3549414,522543,1,2025-09-02_17h17.41.919,adaptive_staircase,,2025.1.1,60.01223049,2025-09-02 17h17.43.724377 +0530
8,1,2,10.8478688,,10.8315953,10.8478688,11.3318015,11.3318015,11.3483131,,11.4333426,left,-2,0,0,0.0881878,522543,1,2025-09-02_17h17.41.919,adaptive_staircase,,2025.1.1,60.01223049,2025-09-02 17h17.43.724377 +0530
9,1,3,11.4488338,,11.4336547,11.4488338,11.9319205,11.9319205,11.9490582,12.2315913,15.6337478,right,3,1,1,3.6863396,522543,1,2025-09-02_17h17.41.919,adaptive_staircase,,2025.1.1,60.01223049,2025-09-02 17h17.43.724377 +0530
