word,colour,stim_condition,correct_res,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,ins.started,text_2.started,text_2.stopped,ins.stopped,trial.started,fixation.started,fixation.stopped,text.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,Thank_you.started,text_3.started,text_3.stopped,Thank_you.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,0.00280969962477684,0.00631529837846756,1.0111988000571728,0.9917484000325203,,,,,,,,,,,,,,,5,001,2025-08-26_16h37.33.711,stroop,,2025.1.1,59.909979068200606,2025-08-26 16h37.39.030985 +0530,
BLUE,blue,C,b,0,0,0,b,1,0.6492027994245291,None,0,0,0,3,1.0111988000571728,,,,,,1.007601199671626,1.0111988000571728,1.5074854996055365,1.5074854996055365,1.5074854996055365,2.168928399682045,b,1,0.6492027994245291,None,,,,,5,001,2025-08-26_16h37.33.711,stroop,,2025.1.1,59.909979068200606,2025-08-26 16h37.39.030985 +0530,
BLUE,red,I,r,1,1,0,r,1,0.4941310007125139,None,0,1,1,2,2.1742500998079777,,,,,,2.169719099998474,2.1742500998079777,2.674024799838662,2.674024799838662,2.674024799838662,3.1754483990371227,r,1,0.4941310007125139,None,,,,,5,001,2025-08-26_16h37.33.711,stroop,,2025.1.1,59.909979068200606,2025-08-26 16h37.39.030985 +0530,
RED,blue,I,b,2,2,0,b,1,0.8151441998779774,None,0,2,2,1,3.1910016983747482,,,,,,3.185725999996066,3.1910016983747482,3.6746987998485565,3.6746987998485565,3.6746987998485565,4.49267159961164,b,1,0.8151441998779774,None,,,,,5,001,2025-08-26_16h37.33.711,stroop,,2025.1.1,59.909979068200606,2025-08-26 16h37.39.030985 +0530,
RED,red,C,r,3,3,0,r,1,0.697876900434494,None,0,3,3,0,4.508087398484349,,,,,,4.49364179931581,4.508087398484349,5.008276399224997,5.008276399224997,5.008276399224997,5.708731299266219,r,1,0.697876900434494,None,,,,,5,001,2025-08-26_16h37.33.711,stroop,,2025.1.1,59.909979068200606,2025-08-26 16h37.39.030985 +0530,
RED,blue,I,b,4,0,1,b,1,0.8443957008421421,None,1,0,4,1,5.724893499165773,,,,,,5.709561999887228,5.724893499165773,6.208567099645734,6.208567099645734,6.208567099645734,7.0593880992382765,b,1,0.8443957008421421,None,,,,,5,001,2025-08-26_16h37.33.711,stroop,,2025.1.1,59.909979068200606,2025-08-26 16h37.39.030985 +0530,
RED,red,C,r,5,1,1,r,1,0.8027452006936073,None,1,1,5,0,7.074819698929787,,,,,,7.060609798878431,7.074819698929787,7.558656599372625,7.558656599372625,7.558656599372625,8.376512499526143,r,1,0.8027452006936073,None,,,,,5,001,2025-08-26_16h37.33.711,stroop,,2025.1.1,59.909979068200606,2025-08-26 16h37.39.030985 +0530,
BLUE,red,I,r,6,2,1,r,1,0.7846189998090267,None,1,2,6,2,8.392098899930716,,,,,,8.38051120005548,8.392098899930716,8.892444400116801,8.892444400116801,8.892444400116801,9.69304459914565,r,1,0.7846189998090267,None,,,,,5,001,2025-08-26_16h37.33.711,stroop,,2025.1.1,59.909979068200606,2025-08-26 16h37.39.030985 +0530,
BLUE,blue,C,b,7,3,1,b,1,0.6884960010647774,None,1,3,7,3,9.708952099084854,,,,,,9.693816799670458,9.708952099084854,10.192907998338342,10.192907998338342,10.192907998338342,10.893245900049806,b,1,0.6884960010647774,None,,,,,5,001,2025-08-26_16h37.33.711,stroop,,2025.1.1,59.909979068200606,2025-08-26 16h37.39.030985 +0530,
RED,red,C,r,8,0,2,r,1,0.6704091001302004,None,2,0,8,0,10.909329298883677,,,,,,10.897693200036883,10.909329298883677,11.392687799409032,11.392687799409032,11.392687799409032,12.076735198497772,r,1,0.6704091001302004,None,,,,,5,001,2025-08-26_16h37.33.711,stroop,,2025.1.1,59.909979068200606,2025-08-26 16h37.39.030985 +0530,
