delay,condition,textbox.text,,,,0.1,0.4,0.7,average
0.1,exp,458,,,exp,573.57,592.8163265,609.37,591.9187755
0.1,exp,567,,,unexp,394.68,391.28,428.36,404.7733333
0.1,exp,343,,,,,,,
0.1,exp,455,,,,,,,
0.1,exp,345,,,,,,,
0.1,exp,687,,,,,,,
0.1,exp,567,,,,,,,
0.1,exp,239,,,,,,,
0.1,exp,388,,,,,,,
0.1,exp,211,,,,,,,
0.1,exp,234,,,,,,,
0.1,exp,589,,,,,,,
0.1,exp,878,,,,,,,
0.1,exp,211,,,,,,,
0.1,exp,572,,,,,,,
0.1,exp,890,,,,,,,
0.1,exp,687,,,,,,,
0.1,exp,340,,,,,,,
0.1,exp,345,,,,,,,
0.1,exp,460,,,,,,,
0.1,exp,883,,,,,,,
0.1,exp,754,,,,,,,
0.1,exp,759,,,,,,,
0.1,exp,736,,,,,,,
0.1,exp,543,,,,,,,
0.1,exp,638,,,,,,,
0.1,exp,838,,,,,,,
0.1,exp,743,,,,,,,
0.1,exp,723,,,,,,,
0.1,exp,375,,,,,,,
0.1,exp,375,,,,,,,
0.1,exp,753,,,,,,,
0.1,exp,543,,,,,,,
0.1,exp,355,,,,,,,
0.1,exp,421,,,,,,,
0.1,exp,367,,,,,,,
0.1,exp,846,,,,,,,
0.1,exp,953,,,,,,,
0.1,exp,634,,,,,,,
0.1,exp,738,,,,,,,
0.1,exp,853,,,,,,,
0.1,exp,730,,,,,,,
0.1,exp,846,,,,,,,
0.1,exp,842,,,,,,,
0.1,exp,833,,,,,,,
0.1,exp,537,,,,,,,
0.1,exp,798,,,,,,,
0.1,exp,837,,,,,,,
0.1,exp,736,,,,,,,
0.1,exp,648,,,,,,,
0.1,exp,356,,,,,,,
0.1,exp,324,,,,,,,
0.1,exp,769,,,,,,,
0.1,exp,409,,,,,,,
0.1,exp,190,,,,,,,
0.1,exp,814,,,,,,,
0.1,exp,560,,,,,,,
0.1,exp,122,,,,,,,
0.1,exp,788,,,,,,,
0.1,exp,211,,,,,,,
0.1,exp,899,,,,,,,
0.1,exp,670,,,,,,,
0.1,exp,209,,,,,,,
0.1,exp,854,,,,,,,
0.1,exp,958,,,,,,,
0.1,exp,600,,,,,,,
0.1,exp,490,,,,,,,
0.1,exp,543,,,,,,,
0.1,exp,587,,,,,,,
0.1,exp,690,,,,,,,
0.1,exp,453,,,,,,,
0.1,exp,599,,,,,,,
0.1,exp,670,,,,,,,
0.1,exp,201,,,,,,,
0.1,exp,968,,,,,,,
0.1,exp,475,,,,,,,
0.1,exp,127,,,,,,,
0.1,exp,576,,,,,,,
0.1,exp,430,,,,,,,
0.1,exp,679,,,,,,,
0.1,exp,498,,,,,,,
0.1,exp,670,,,,,,,
0.1,exp,890,,,,,,,
0.1,exp,798,,,,,,,
0.1,exp,450,,,,,,,
0.1,exp,989,,,,,,,
0.1,exp,900,,,,,,,
0.1,exp,756,,,,,,,
0.1,exp,684,,,,,,,
0.1,exp,576,,,,,,,
0.1,exp,210,,,,,,,
0.1,exp,123,,,,,,,
0.1,exp,658,,,,,,,
0.1,exp,213,,,,,,,
0.1,exp,500,,,,,,,
0.1,exp,549,,,,,,,
0.1,exp,589,,,,,,,
0.1,exp,430,,,,,,,
0.1,exp,340,,,,,,,
0.1,exp,210,,,,,,,
0.1,unexp,326,,,,,,,
0.1,unexp,342,,,,,,,
0.1,unexp,321,,,,,,,
0.1,unexp,310,,,,,,,
0.1,unexp,210,,,,,,,
0.1,unexp,666,,,,,,,
0.1,unexp,871,,,,,,,
0.1,unexp,236,,,,,,,
0.1,unexp,329,,,,,,,
0.1,unexp,111,,,,,,,
0.1,unexp,252,,,,,,,
0.1,unexp,365,,,,,,,
0.1,unexp,253,,,,,,,
0.1,unexp,173,,,,,,,
0.1,unexp,91,,,,,,,
0.1,unexp,83,,,,,,,
0.1,unexp,322,,,,,,,
0.1,unexp,126,,,,,,,
0.1,unexp,381,,,,,,,
0.1,unexp,325,,,,,,,
0.1,unexp,222,,,,,,,
0.1,unexp,326,,,,,,,
0.1,unexp,173,,,,,,,
0.1,unexp,236,,,,,,,
0.1,unexp,321,,,,,,,
0.1,unexp,211,,,,,,,
0.1,unexp,319,,,,,,,
0.1,unexp,322,,,,,,,
0.1,unexp,498,,,,,,,
0.1,unexp,346,,,,,,,
0.1,unexp,492,,,,,,,
0.1,unexp,543,,,,,,,
0.1,unexp,489,,,,,,,
0.1,unexp,475,,,,,,,
0.1,unexp,350,,,,,,,
0.1,unexp,500,,,,,,,
0.1,unexp,867,,,,,,,
0.1,unexp,647,,,,,,,
0.1,unexp,347,,,,,,,
0.1,unexp,456,,,,,,,
0.1,unexp,878,,,,,,,
0.1,unexp,570,,,,,,,
0.1,unexp,578,,,,,,,
0.1,unexp,345,,,,,,,
0.1,unexp,573,,,,,,,
0.1,unexp,458,,,,,,,
0.1,unexp,560,,,,,,,
0.1,unexp,340,,,,,,,
0.1,unexp,989,,,,,,,
0.1,unexp,210,,,,,,,
0.4,exp,"344
",,,,,,,
0.4,exp,655,,,,,,,
0.4,exp,788,,,,,,,
0.4,exp,599,,,,,,,
0.4,exp,788,,,,,,,
0.4,exp,600,,,,,,,
0.4,exp,324,,,,,,,
0.4,exp,423,,,,,,,
0.4,exp,599,,,,,,,
0.4,exp,564,,,,,,,
0.4,exp,765,,,,,,,
0.4,exp,791,,,,,,,
0.4,exp,700,,,,,,,
0.4,exp,344,,,,,,,
0.4,exp,345,,,,,,,
0.4,exp,786,,,,,,,
0.4,exp,767,,,,,,,
0.4,exp,657,,,,,,,
0.4,exp,444,,,,,,,
0.4,exp,"367
",,,,,,,
0.4,exp,758,,,,,,,
0.4,exp,869,,,,,,,
0.4,exp,854,,,,,,,
0.4,exp,687,,,,,,,
0.4,exp,638,,,,,,,
0.4,exp,473,,,,,,,
0.4,exp,947,,,,,,,
0.4,exp,764,,,,,,,
0.4,exp,846,,,,,,,
0.4,exp,432,,,,,,,
0.4,exp,583,,,,,,,
0.4,exp,486,,,,,,,
0.4,exp,754,,,,,,,
0.4,exp,312,,,,,,,
0.4,exp,385,,,,,,,
0.4,exp,653,,,,,,,
0.4,exp,486,,,,,,,
0.4,exp,753,,,,,,,
0.4,exp,732,,,,,,,
0.4,exp,839,,,,,,,
0.4,exp,725,,,,,,,
0.4,exp,738,,,,,,,
0.4,exp,843,,,,,,,
0.4,exp,632,,,,,,,
0.4,exp,843,,,,,,,
0.4,exp,648,,,,,,,
0.4,exp,867,,,,,,,
0.4,exp,749,,,,,,,
0.4,exp,827,,,,,,,
