reward_today,future_reward,delay,key_resp.keys,k,geomean,mean of all
15,35,13,l,1.461538462,,0.137935867
49,60,89,l,0.112359551,,
40,55,62,t,0.225806452,,
67,75,119,t,0.058823529,,
78,80,162,t,0.00617284,0.125988158,
11,30,7,l,2.571428571,,
27,50,21,l,1.047619048,,
40,55,62,l,0.225806452,,
67,75,119,t,0.058823529,0.248243127,
27,50,21,l,1.047619048,,
15,35,13,l,1.461538462,,
11,30,7,l,2.571428571,,
49,60,89,t,0.112359551,,
78,80,162,t,0.00617284,0.094983379,
15,35,13,l,1.461538462,,
40,55,62,l,0.225806452,,
49,60,89,t,0.112359551,0.343088918,
27,50,21,l,1.047619048,,
67,75,119,t,0.058823529,0.388922234,
11,30,7,l,2.571428571,,
78,80,162,t,0.00617284,0.094983379,
15,35,13,l,1.461538462,,
40,55,62,l,0.225806452,,
78,80,162,t,0.00617284,0.080416318,
27,50,21,l,1.047619048,,
11,30,7,l,2.571428571,,
67,75,119,t,0.058823529,0.081298126,
49,60,89,l,0.112359551,,
40,55,62,l,0.225806452,,
11,30,7,l,2.571428571,,
49,60,89,l,0.112359551,,
78,80,162,t,0.00617284,0.019055398,
67,75,119,l,0.058823529,,
27,50,21,l,1.047619048,,
15,35,13,l,1.461538462,,
15,35,13,l,1.461538462,,
78,80,162,t,0.00617284,,
67,75,119,t,0.058823529,0.115250737,
40,55,62,l,0.225806452,,
49,60,89,t,0.112359551,0.537517031,
11,30,7,l,2.571428571,,
27,50,21,l,1.047619048,,
49,60,89,l,0.112359551,,
67,75,119,t,0.058823529,0.388922234,
11,30,7,l,2.571428571,,
78,80,162,t,0.00617284,0.080416318,
27,50,21,l,1.047619048,,
15,35,13,l,1.461538462,,
40,55,62,l,0.225806452,,
40,55,62,l,0.225806452,,
67,75,119,t,0.058823529,,
78,80,162,t,0.00617284,0.125988158,
11,30,7,l,2.571428571,,
49,60,89,l,0.112359551,,
27,50,21,l,1.047619048,,
15,35,13,l,1.461538462,,
27,50,21,l,1.047619048,,
67,75,119,t,0.058823529,0.115250737,
40,55,62,l,0.225806452,,
49,60,89,l,0.112359551,,
78,80,162,t,0.00617284,0.125988158,
11,30,7,l,2.571428571,,
15,35,13,l,1.461538462,,
40,55,62,l,0.225806452,,
67,75,119,t,0.058823529,,
78,80,162,t,0.00617284,0.080416318,
27,50,21,l,1.047619048,,
15,35,13,l,1.461538462,,
49,60,89,l,0.112359551,,
11,30,7,l,2.571428571,,
49,60,89,l,0.112359551,,
11,30,7,l,2.571428571,,
78,80,162,t,0.00617284,,
67,75,119,t,0.058823529,0.115250737,
40,55,62,l,0.225806452,,
15,35,13,l,1.461538462,,
27,50,21,l,1.047619048,,
78,80,162,t,0.00617284,0.125988158,
11,30,7,l,2.571428571,,
40,55,62,l,0.225806452,,
49,60,89,l,0.112359551,,
67,75,119,t,0.058823529,0.293211273,
15,35,13,l,1.461538462,,
27,50,21,l,1.047619048,,
49,60,89,l,0.112359551,,
11,30,7,l,2.571428571,,
67,75,119,t,0.058823529,0.248243127,
27,50,21,l,1.047619048,,
40,55,62,l,0.225806452,,
78,80,162,t,0.00617284,0.094983379,
15,35,13,l,1.461538462,,
78,80,162,t,0.00617284,0.037334528,
40,55,62,l,0.225806452,,
67,75,119,t,0.058823529,0.388922234,
11,30,7,l,2.571428571,,
15,35,13,l,1.461538462,,
27,50,21,l,1.047619048,,
49,60,89,t,0.112359551,0.159284373,
40,55,62,l,0.225806452,,
49,60,89,l,0.112359551,,
